case,switch,soft_iou,hard_iou,tex_corr,lesion_change,psnr_brain_target
Mets_001,default,0.9750335812568665,0.983272910118103,0.9798076748847961,-0.022468268871307373,32.7702713863864
Mets_001,no_clip,0.9604640603065491,0.9819037914276123,0.9634456038475037,-0.06919461488723755,26.492905075946922
Mets_001,clip_0.04,0.9759351015090942,0.9821974039077759,0.9778285622596741,-0.016240239143371582,33.63780646427058
Mets_001,clip_0.15,0.9692880511283875,0.9820165038108826,0.9812849760055542,-0.033439427614212036,31.06346651130331
Mets_001,no_detail,0.9675615429878235,0.9773733019828796,0.9781307578086853,-0.029023796319961548,30.887751314424506
Mets_001,no_expo_reduce,0.9760059714317322,0.9836945533752441,0.984204113483429,-0.019141167402267456,33.927608728964486
Mets_001,no_contour_lock,0.971550464630127,0.983272910118103,0.9901829957962036,-0.022468268871307373,32.770272343187436
Mets_001,strength_0.10,0.9756496548652649,0.9816878437995911,0.9765421748161316,-0.013582289218902588,33.93912615240203
Mets_001,strength_1.00,0.960410475730896,0.9783254861831665,0.9868367314338684,-0.045969992876052856,29.25316287069125
Mets_002,default,0.9718365669250488,0.9802832007408142,0.9818925857543945,-0.02478647232055664,32.13847966995179
Mets_002,no_clip,0.9616989493370056,0.9791275858879089,0.9662145972251892,-0.07680752873420715,25.66912570173583
Mets_002,clip_0.04,0.9724259376525879,0.9796744585037231,0.9800452589988708,-0.018311232328414917,32.9204338588243
Mets_002,clip_0.15,0.9679058790206909,0.9792347550392151,0.9834455251693726,-0.036195218563079834,30.57832111356118
Mets_002,no_detail,0.9646417498588562,0.9730283617973328,0.9792861342430115,-0.03192654252052307,30.28538311620354
Mets_002,no_expo_reduce,0.9727572202682495,0.9808709621429443,0.9854542016983032,-0.020732909440994263,33.37969023415254
Mets_002,no_contour_lock,0.9673939347267151,0.9802832007408142,0.9914875626564026,-0.024712979793548584,32.13848670167389
Mets_002,strength_0.10,0.9722023010253906,0.9789820909500122,0.9788671135902405,-0.015544891357421875,33.19302011791664
Mets_002,strength_1.00,0.9615067839622498,0.9743651747703552,0.9883482456207275,-0.049244463443756104,28.882182606950067
Mets_003,default,0.9860900044441223,0.9919736981391907,0.97979736328125,-0.021824568510055542,30.841017256700297
Mets_003,no_clip,0.9853090047836304,0.9921812415122986,0.9630321860313416,-0.0956859290599823,23.744130859216966
Mets_003,clip_0.04,0.9857003092765808,0.9913133978843689,0.9783247709274292,-0.015303969383239746,31.34645964092513
Mets_003,clip_0.15,0.9860559701919556,0.9921812415122986,0.9815626740455627,-0.033284902572631836,29.73823810781919
Mets_003,no_detail,0.9824356436729431,0.9895340800285339,0.9785379767417908,-0.028179436922073364,28.985326609759852
Mets_003,no_expo_reduce,0.9862849116325378,0.9920806884765625,0.9833168983459473,-0.0175439715385437,31.9042745480534
Mets_003,no_contour_lock,0.9809123873710632,0.9919736981391907,0.9898674488067627,-0.021824568510055542,30.841017256700297
