case,mse,mae,psnr_db
Mets_001,0.011309887282550335,0.03871138393878937,19.46541723351321
Mets_002,0.01267020870000124,0.041530437767505646,18.972162314849538
Mets_003,0.022223593667149544,0.05392741411924362,16.5318571210898
Mets_004,0.025656061246991158,0.057491738349199295,15.908100163163425
Mets_005,0.031192254275083542,0.06454649567604065,15.059532374951296
Mets_006,0.013519251719117165,0.04287843406200409,18.690473456171425
Mets_007,0.02328351140022278,0.06451639533042908,16.32951522873394
Mets_008,0.02166832983493805,0.05762682110071182,16.64174562211506
Mets_009,0.037494488060474396,0.07047701627016068,14.26032571762003
Mets_010,0.025857996195554733,0.06298911571502686,15.874051327785622
Mets_011,0.027002617716789246,0.06472344696521759,15.685941319576933
Mets_012,0.014767908491194248,0.04537127912044525,18.306810073997255
Mets_013,0.030793700367212296,0.0693674311041832,15.115381203692664
Mets_014,0.018510818481445312,0.04690711200237274,17.32574377891261
Mets_015,0.024147678166627884,0.056588705629110336,16.171246209330672
Mets_016,0.03271031752228737,0.0640334039926529,14.853152401150677
Mets_017,0.023717889562249184,0.053960952907800674,16.249239574766676
Mets_018,0.026095382869243622,0.0611841082572937,15.834363268299816
Mets_019,0.03391331434249878,0.07482603192329407,14.696297646212098
Mets_020,0.011990239843726158,0.0425516702234745,19.211721295145804
Mets_021,0.034797973930835724,0.07256525009870529,14.584460415785156
Mets_022,0.024950090795755386,0.06259292364120483,16.029278695987557
Mets_023,0.027312204241752625,0.06495502591133118,15.636432485457416
Mets_024,0.034105412662029266,0.07318118959665298,14.671766913092597
Mets_025,0.03723578155040741,0.07465145736932755,14.290395262178958
Mets_026,0.023639433085918427,0.06366170942783356,16.263629427911866
Mets_027,0.041194379329681396,0.07921168208122253,13.851620362150799
Mets_028,0.0251036137342453,0.05826375260949135,16.00263756133509
Mets_029,0.014294665306806564,0.04676741361618042,18.448260086941485
Mets_030,0.01698601059615612,0.04912950098514557,17.699086093310427
Mets_031,0.03465205803513527,0.06961458176374435,14.602709669176736
Mets_032,0.03286759927868843,0.06505349278450012,14.832320165783967
Mets_033,0.03552303463220596,0.06946643441915512,14.494899407614884
Mets_034,0.031596459448337555,0.06697653234004974,15.003615796663167
Mets_035,0.017215659841895103,0.04964394122362137,17.640763269992636
Mets_036,0.024605631828308105,0.0627690851688385,16.08965478586631
Mets_037,0.03508840873837471,0.06957271695137024,14.548363266211018
Mets_038,0.024558227509260178,0.05865991488099098,16.098029816158217
Mets_039,0.03581465035676956,0.07532742619514465,14.459392843173607
Mets_040,0.019363101571798325,0.052493635565042496,17.130250763855305
Mets_041,0.029846888035535812,0.06474154442548752,15.251009435781393
Mets_042,0.04001298174262047,0.0843229740858078,13.9779908405925
Mets_043,0.0210808627307415,0.052218712866306305,16.761116196675815
Mets_044,0.035958386957645416,0.07591323554515839,14.441997983377508
Mets_045,0.026194952428340912,0.0633801519870758,15.817823859210474
Mets_046,0.0284423828125,0.06323839724063873,15.460340226057365
Mets_047,0.013809897936880589,0.043106839060783386,18.59809531096485
Mets_048,0.039082612842321396,0.07832754403352737,14.08016409511346
Mets_049,0.022972019389271736,0.06155357509851456,16.388008258293976
Mets_050,0.02000710926949978,0.053536780178546906,16.988156559412964
Mets_051,0.03696942329406738,0.07185406237840652,14.321573241674326
