case,brain_voxels,core_voxels,support_voxels,seg_voxels_tri,seg_voxels_near,core_brain_frac,seg_brain_frac,dice_tri,recall_tri,precision_tri,dice_near,recall_near,precision_near,dice_support,recall_support,seg_voxels_max,dice_max,recall_max,precision_max,dice_support_max,recall_support_max
Mets_031,41786,11455,63640,7,12,0.27413487771023787,0.00016752022208395157,0.00017448961786773688,0.14285714285714285,8.729812309035356e-05,0.00017441353449027645,0.08333333333333333,8.729812309035356e-05,0.00021996323471648311,1.0,144,0.00689714630571601,0.2777777777777778,0.003491924923614142,0.004515238931393453,1.0
Mets_032,46153,10624,69537,2,4,0.23019088683292527,4.333412779234286e-05,0.0,0.0,0.0,0.0001881821603312006,0.25,9.412650602409639e-05,5.7521678482578124e-05,1.0,39,0.0018756447528838038,0.2564102564102564,0.0009412650602409639,0.0011210762331838565,1.0
Mets_033,44811,12469,67293,5,8,0.2782575706857691,0.000111579746044498,0.000801667468334135,1.0,0.0004009944662763654,0.0012823595415564638,1.0,0.0006415911460421846,0.0001485928259383637,1.0,42,0.005275357685236992,0.7857142857142857,0.0026465634774240116,0.001247493873914012,1.0
Mets_034,43047,11067,65155,1,1,0.2570910864868632,2.323042256138639e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.069556142181841e-05,1.0,24,0.0,0.0,0.0,0.0007364335138618267,1.0
Mets_035,41554,9924,62980,18,21,0.2388217740771045,0.0004331712951821726,0.0,0.0,0.0,0.0,0.0,0.0,0.0005714467125940506,1.0,67,0.0008007206485837253,0.05970149253731343,0.00040306328093510683,0.0021253985122210413,1.0
Mets_036,38149,9519,58515,5,5,0.24952161262418412,0.00013106503447010408,0.0,0.0,0.0,0.0,0.0,0.0,0.00017088174982911826,1.0,81,0.0,0.0,0.0,0.002764693835756707,1.0
Mets_037,47466,11662,71146,0,1,0.2456916529726541,0.0,0.0,0.0,0.0,0.0001714824659178599,1.0,8.574858514834505e-05,0.0,0.0,11,0.0017133556069562237,0.9090909090909091,0.0008574858514834505,0.0003091754851947103,1.0
Mets_038,43693,9404,66132,69,70,0.21522898404778798,0.0015792003295722428,0.012456455188430275,0.855072463768116,0.006273925988940876,0.011399620012666244,0.7714285714285715,0.0057422373458102935,0.0020845606561834414,1.0,162,0.018189420865565544,0.5370370370370371,0.00925138239047214,0.004887320119467825,1.0
Mets_039,44990,11214,67544,1,4,0.24925539008668593,2.222716159146477e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.9609889703160856e-05,1.0,80,0.0015937666017354348,0.1125,0.0008025682182985554,0.002366023896841358,1.0
Mets_040,45702,12257,68357,35,41,0.2681939521246335,0.0007658308170320774,0.004393101204035145,0.7714285714285715,0.002202822876723505,0.005041470157749228,0.7560975609756098,0.0025291670066084687,0.001023511521815417,1.0,193,0.01927710843373494,0.6217616580310881,0.009790323896548912,0.005630926331145149,1.0
