case,brain_voxels,core_voxels,seg_voxels,segmax_voxels,core_brain_frac,seg_brain_frac,segmax_brain_frac,recall_core_vs_seg,precision_core_vs_seg,paper_signed_change_core,paper_ratio_core,paper_abschange_core,texture_corr_core,signed_change_seg,abschange_seg,abschange_outside_seg,ratio_seg,texture_corr_seg,signed_change_segmax,abschange_segmax,abschange_outside_segmax,ratio_segmax,texture_corr_segmax
Mets_001,43819,11588,16,86,0.26445149364430953,0.0003651384102786463,0.0019626189552477235,0.6875,0.0009492578529513289,-0.020815551280975342,0.6062992188704437,0.02572241611778736,0.9902910590171814,-0.0746840089559555,0.0746840089559555,0.018252957612276077,0.2444024881288933,0.9955928325653076,-0.038143906742334366,0.040286190807819366,0.018230276182293892,0.45251923343309686,0.9960495829582214
Mets_002,41129,10829,43,131,0.26329353983807047,0.001045491016071385,0.003185100537333755,0.6744186046511628,0.00267799427463293,-0.02121310494840145,0.6032125796251684,0.027298366650938988,0.9889232516288757,-0.029335374012589455,0.03994246572256088,0.01929783821105957,0.48314088431850327,0.9953649640083313,-0.025129394605755806,0.0300263911485672,0.019285209476947784,0.6422753031333917,0.9918794631958008
Mets_003,43826,10221,1,37,0.23321772463834253,2.281750559028887e-05,0.0008442477068406882,0.0,0.0,-0.02058158628642559,0.7458667935022986,0.026257680729031563,0.9873693585395813,-0.005744665861129761,0.005744665861129761,0.021141331642866135,3.6801673333022062,nan,-0.01648811437189579,0.02230815403163433,0.021139994263648987,0.947635301140165,0.9888469576835632
Mets_004,41381,10936,0,16,0.2642758754017544,0.0,0.0003866508784224644,0.0,0.0,-0.024976305663585663,0.3969284587507606,0.03071761690080166,0.9904469847679138,nan,nan,0.017090152949094772,nan,nan,-0.02201181650161743,0.023727409541606903,0.017087586224079132,0.7201623166707435,0.9839680194854736
Mets_005,42848,9802,36,248,0.2287621359223301,0.0008401792382374906,0.00578790141896938,0.0,0.0,-0.019289063289761543,0.7338332604590923,0.026522468775510788,0.9894462823867798,-0.07295316457748413,0.0761369839310646,0.02103169448673725,0.276234930789741,0.9968346953392029,-0.024828115478157997,0.03309531509876251,0.021007046103477478,0.6347438010724051,0.993504524230957
Mets_006,41921,9996,657,1244,0.2384485102931705,0.015672336060685577,0.02967486462632094,0.8614916286149162,0.05662264905962385,-0.023903649300336838,0.5711781231676583,0.028679080307483673,0.9904706478118896,-0.04682890325784683,0.055055394768714905,0.018744274973869324,0.34046209372602143,0.9946050047874451,-0.027749042958021164,0.036834027618169785,0.018774760887026787,0.5097124072786823,0.9945989847183228
Mets_007,44192,11704,84,322,0.2648443157132513,0.0019007965242577843,0.007286386676321506,0.27380952380952384,0.00196514012303486,-0.0193304643034935,0.6897855356214446,0.02547965943813324,0.9898358583450317,-0.05646473914384842,0.05823623389005661,0.019595423713326454,0.33648164389064694,0.9948490858078003,-0.020394762977957726,0.027833573520183563,0.019608942791819572,0.7045068351571929,0.9935145378112793
Mets_008,38233,8695,20,480,0.22742133758794758,0.0005231083095754976,0.012554599429811943,0.0,0.0,-0.01838330365717411,0.7953183448158045,0.024990247562527657,0.9890337586402893,-0.01934262178838253,0.027863744646310806,0.021034900099039078,0.7549200714421608,0.9978596568107605,-0.015047040767967701,0.019321631640195847,0.02106030285358429,1.0899857344227282,0.9912060499191284
Mets_009,43848,11113,51,219,0.2534437146506112,0.0011631089217296114,0.0049945265462506844,0.21568627450980393,0.000989831728606137,-0.02153988555073738,0.5786980875478482,0.02571887895464897,0.9908798933029175,-0.05345023050904274,0.05386415496468544,0.017587440088391304,0.32651473136303777,0.9923602342605591,-0.023661384359002113,0.027909226715564728,0.017576824873685837,0.629785448834503,0.9904978275299072
Mets_010,42066,9493,2,104,0.22566918651642656,4.754433509247373e-05,0.002472305424808634,1.0,0.00021068155482987464,-0.026186270639300346,0.5630999664621184,0.03144592419266701,0.9896731972694397,-0.038585513830184937,0.038585513830184937,0.02080676145851612,0.5392376411024821,nan,-0.026638735085725784,0.03178331255912781,0.020780403167009354,0.6538148951073213,0.9914189577102661
