case,variant,soft_iou,hard_iou,tex_corr,lesion_change,resid_mean_abs,psnr_brain_target
Mets_001,dit_seedA,0.9750335812568665,0.983272910118103,0.9798076748847961,-0.022468268871307373,0.038714442402124405,32.7702713863864
Mets_001,dit_seedB,0.9750335812568665,0.983272910118103,0.9798076748847961,-0.022468268871307373,0.03870735317468643,32.7702713863864
Mets_001,frozen,0.9750335812568665,0.983272910118103,0.9798076748847961,-0.022468268871307373,0.03871019184589386,32.7702713863864
Mets_001,shuffled,0.9750335812568665,0.983272910118103,0.9798076748847961,-0.022468268871307373,0.038714442402124405,32.7702713863864
Mets_001,identity,0.9751215577125549,0.9806337952613831,0.9751670360565186,-0.010051906108856201,0.0,34.280191255466825
Mets_001,noise,0.9710022807121277,0.9773321747779846,0.9482604265213013,-0.006831228733062744,0.47246602177619934,33.58672089586262
Mets_001,mean_latent,0.9750335812568665,0.983272910118103,0.9798076748847961,-0.022468268871307373,0.0386970154941082,32.7702713863864
Mets_002,dit_seedA,0.9718365669250488,0.9802832007408142,0.9818925857543945,-0.02478647232055664,0.04153352975845337,32.13847966995179
Mets_002,dit_seedB,0.9718365669250488,0.9802832007408142,0.9818925857543945,-0.02478647232055664,0.04152641445398331,32.13847966995179
Mets_002,frozen,0.9718365669250488,0.9802832007408142,0.9818925857543945,-0.02478647232055664,0.04152926057577133,32.13847966995179
Mets_002,shuffled,0.9718365669250488,0.9802832007408142,0.9818925857543945,-0.02478647232055664,0.041533488780260086,32.13847966995179
Mets_002,identity,0.9718915224075317,0.9781944751739502,0.9775869250297546,-0.011874198913574219,0.0,33.5042758434882
Mets_002,noise,0.9690409302711487,0.974870502948761,0.9535192251205444,-0.009047865867614746,0.47109469771385193,32.79631594557176
Mets_002,mean_latent,0.9718365669250488,0.9802832007408142,0.9818925857543945,-0.02478647232055664,0.04151606559753418,32.13847966995179
Mets_003,dit_seedA,0.9860900044441223,0.9919736981391907,0.97979736328125,-0.021824568510055542,0.05393078923225403,30.841017256700297
Mets_003,dit_seedB,0.9860900044441223,0.9919736981391907,0.97979736328125,-0.021824568510055542,0.053923361003398895,30.841017256700297
Mets_003,frozen,0.9860900044441223,0.9919736981391907,0.97979736328125,-0.021824568510055542,0.05392628163099289,30.841017256700297
Mets_003,shuffled,0.9860900044441223,0.9919736981391907,0.97979736328125,-0.021824568510055542,0.05393050238490105,30.841017256700297
Mets_003,identity,0.9850529432296753,0.9900720715522766,0.9765799641609192,-0.008806467056274414,0.0,31.701517236665488
Mets_003,noise,0.9837753176689148,0.9891776442527771,0.9593787789344788,-0.009243488311767578,0.468173623085022,31.01451247141967
Mets_003,mean_latent,0.9860900044441223,0.9919736981391907,0.97979736328125,-0.021824568510055542,0.05391303077340126,30.841017256700297
Mets_004,dit_seedA,0.9831069111824036,0.9862001538276672,0.9812391996383667,-0.020632147789001465,0.05749509856104851,30.678968120454417
Mets_004,dit_seedB,0.9831069111824036,0.9862001538276672,0.9812391996383667,-0.020632147789001465,0.057487644255161285,30.678968120454417
Mets_004,frozen,0.9831069111824036,0.9862001538276672,0.9812391996383667,-0.020632147789001465,0.05749061703681946,30.678968120454417
Mets_004,shuffled,0.9831069111824036,0.9862001538276672,0.9812391996383667,-0.020632147789001465,0.0574951134622097,30.678968120454417
Mets_004,identity,0.9815355539321899,0.9837906956672668,0.9787571430206299,-0.008811593055725098,0.0,31.495332259003096
Mets_004,noise,0.9799704551696777,0.9815512895584106,0.9650279879570007,-0.009776473045349121,0.4679003953933716,30.918702232537964
Mets_004,mean_latent,0.9831069111824036,0.9862001538276672,0.9812391996383667,-0.020632147789001465,0.057477351278066635,30.678968120454417
Mets_005,dit_seedA,0.9840473532676697,0.9868783950805664,0.9810314774513245,-0.026188433170318604,0.06454986333847046,29.53588753714393
Mets_005,dit_seedB,0.9840473532676697,0.9868783950805664,0.9810314774513245,-0.026188433170318604,0.06454233080148697,29.53588753714393
Mets_005,frozen,0.9840473532676697,0.9868783950805664,0.9810314774513245,-0.026188433170318604,0.06454529613256454,29.53588753714393
Mets_005,shuffled,0.9840473532676697,0.9868783950805664,0.9810314774513245,-0.026188433170318604,0.06454985588788986,29.53588753714393
Mets_005,identity,0.9823898077011108,0.9843666553497314,0.9787057042121887,-0.012592434883117676,0.0,30.281632533187768
Mets_005,noise,0.980927586555481,0.9824414253234863,0.9671517610549927,-0.016251027584075928,0.4666210412979126,29.606673536467305
Mets_005,mean_latent,0.9840473532676697,0.9868783950805664,0.9810314774513245,-0.026188433170318604,0.06453211605548859,29.53588753714393
Mets_006,dit_seedA,0.9740144610404968,0.9796841740608215,0.9814563393592834,-0.02346336841583252,0.04288163036108017,31.896155001043454
Mets_006,dit_seedB,0.9740144610404968,0.9796841740608215,0.9814563393592834,-0.02346336841583252,0.042874425649642944,31.896155001043454
Mets_006,frozen,0.9740144610404968,0.9796841740608215,0.9814563393592834,-0.02346336841583252,0.04287733882665634,31.896155001043454
Mets_006,shuffled,0.9740144610404968,0.9796841740608215,0.9814563393592834,-0.02346336841583252,0.0428818017244339,31.896155001043454
Mets_006,identity,0.9726061224937439,0.9752048850059509,0.9772738814353943,-0.010831952095031738,0.0,33.05921963564693
